KPI_ID,KPI_Name,Domain,Business_Definition,Formula,SQL_Expression,Grain,Filters_Exclusions,Business_Owner,Technical_Owner,Refresh_Cadence,Target_Benchmark,SLA_Alert_Threshold
KPI-001,Gross Merchandise Value (GMV),Revenue,"Total aggregate value of goods and services purchased by learners prior to discounts, cancellations, and refunds.",SUM(quantity * unit_price),SUM(CASE WHEN payment_status != 'Failed' THEN quantity * unit_price ELSE 0 END),Order Line / Daily / Monthly,Exclude failed orders and quarantined records with invalid quantities/prices.,VP of Growth & Commercial Ops,Data Engineering Lead,Daily (06:00 UTC),">= ₹150,000 / month",< 80% of 7-day moving average
KPI-002,Net Realized Revenue,Revenue,Actual monetary revenue recognized from settled transactions after subtracting discount deductions and excluding refunds/failed payments.,SUM(quantity * unit_price * (1 - discount_pct / 100)) for Paid orders,"SUM(CASE WHEN payment_status = 'Paid' THEN quantity * unit_price * (1 - COALESCE(discount_pct, 0)/100.0) ELSE 0 END)",Order Line / Daily / Monthly,"payment_status = 'Paid' only; excludes Pending, Failed, and Refunded transactions.",Head of Finance,Analytics Engineer,Daily (06:00 UTC),>= 85% of Gross Merchandise Value,< 75% of GMV or MoM drop > 15%
KPI-003,Gross Order Volume (Total Placed Orders),Volume,Total count of unique checkout attempts placed on the platform regardless of downstream payment settlement status.,COUNT(DISTINCT order_id),COUNT(DISTINCT order_id),Order Header / Daily,Exclude technical duplicate rows and corrupted order identifiers.,Product Operations Manager,Data Engineering Lead,Hourly / Intraday,>= 50 orders / day,Zero orders in 3 consecutive business hours
KPI-004,Net Completed Orders,Volume,"Total count of successfully settled, active customer purchase orders delivered or provisioned.",COUNT(DISTINCT order_id) WHERE payment_status = 'Paid',COUNT(DISTINCT CASE WHEN payment_status = 'Paid' THEN order_id END),Order Header / Daily,Filter strictly for payment_status = 'Paid'.,Head of Commercial Operations,Analytics Engineer,Daily (06:00 UTC),>= 80% of Gross Orders,< 70% of Gross Orders
KPI-005,Payment Success Rate (PSR),Operations,"Proportion of checkout attempts that complete payment successfully without failure, drop-off, or gateway timeout.",(Count of Paid Orders / Total Settled Orders Attempted) * 100,"(COUNT(CASE WHEN payment_status = 'Paid' THEN 1 END) * 100.0) / NULLIF(COUNT(order_id), 0)",Gateway / Daily Aggregate,Exclude automated load tests and verified double-click submissions.,Fintech & Payments Lead,Backend Platform Engineer,Near Real-Time (15 min),>= 85.0%,< 75.0% (Trigger P1 Incident)
KPI-006,Average Order Value (AOV),Commercial,The average net monetary spend generated per completed order transaction.,Net Realized Revenue / Net Completed Orders,"SUM(CASE WHEN payment_status = 'Paid' THEN quantity * unit_price * (1 - COALESCE(discount_pct, 0)/100.0) END) / NULLIF(COUNT(DISTINCT CASE WHEN payment_status = 'Paid' THEN order_id END), 0)",Daily / Customer Segment,"Limited strictly to valid, non-refunded Paid orders.",VP of Growth & Commercial Ops,Analytics Engineer,Daily (06:00 UTC),">= ₹1,200",< ₹900
KPI-007,Discount Depth Rate,Commercial,Average percentage discount concession provided relative to pre-discount gross catalog revenue across transactions.,(Total Discount Concession Amount / Gross Value of Discounted Orders) * 100,"SUM(quantity * unit_price * (COALESCE(discount_pct, 0)/100.0)) * 100.0 / NULLIF(SUM(quantity * unit_price), 0)",Product Category / Segment Grain,Valid orders where discount_pct is between 0% and 100%.,Marketing & Growth Director,Analytics Engineer,Weekly,<= 12.0%,> 18.0% or unapproved promotional surge
KPI-008,Refund Rate,Customer Experience,"Proportion of settled transactions reversed due to customer return, cancellation, or fulfillment failure.",(Count of Refunded Orders / (Count of Paid + Refunded Orders)) * 100,"(COUNT(CASE WHEN payment_status = 'Refunded' THEN 1 END) * 100.0) / NULLIF(COUNT(CASE WHEN payment_status IN ('Paid', 'Refunded') THEN 1 END), 0)",Product Category / Monthly Aggregate,Requires terminal status tracking (excludes in-flight pending orders).,Customer Experience Lead,Data Engineering Lead,Daily (06:00 UTC),<= 5.0%,> 8.0% (Triggers product quality audit)
KPI-009,Category Revenue Contribution,Product Analytics,"Percentage share of total platform net revenue delivered by each product line (Learning Kit, Course Access, Mentor Session).",(Net Revenue per Category / Total Platform Net Revenue) * 100,"SUM(CASE WHEN payment_status = 'Paid' THEN quantity * unit_price * (1 - COALESCE(discount_pct, 0)/100.0) END) [per category] / SUM(Total Paid Net Revenue) * 100",Product Category / Monthly,Paid transactions with standardized product categories.,Head of Product Portfolio,BI & Reporting Analyst,Weekly,"Balanced Portfolio: Kit ~35%, Course ~45%, Mentor ~20%",Any core category declining > 25% MoM
KPI-010,Customer Segment Penetration & Monetization,Customer Strategy,"Breakdown of completed orders and net revenue contribution across Student, Fresher, and Professional buyer cohorts.",Net Revenue & Orders grouped by Customer Segment,GROUP BY customer_segment on Paid orders,Customer Segment / Monthly,"Standardized customer_segment values in ('Student', 'Fresher', 'Professional').",VP of Growth & Acquisition,BI & Reporting Analyst,Weekly,Professional segment >= 45% revenue contribution,Student cohort share < 20%
