Transaction_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Region,Product_Category,Product_Name,Quantity_Ordered,Unit_Price,Unit_Cost,Discount_Applied,Shipping_Cost,Payment_Method,Order_Status,Order_Year,Order_Month,Order_Month_Name,Order_Quarter,Day_of_Week,Is_Weekend,Delivery_Duration_Days,Gross_Sales_Amount,Discount_Amount,Net_Sales_Amount,Total_COGS,Gross_Profit,Profit_Margin_Pct,Customer_Age_Group,Order_Value_Tier
ORD-110229,2025-02-23,2025-02-27,CUST-2530,Customer_2530,30,Other,Japan,Home & Kitchen,Espresso Coffee Maker,7,191.77,90.0,0.25,20.85,Debit Card,Delivered,2025,2,February,Q1,Sunday,1,4,1342.39,335.6,1006.79,630.0,376.79,37.42,Millennial (25-39),VIP Enterprise Tier
ORD-100009,2025-04-13,2025-04-16,CUST-2622,Customer_2622,54,Female,United Kingdom,Home & Kitchen,Air Purifier HEPA,6,123.99,50.0,0.0,7.06,Credit Card,Shipped,2025,4,April,Q2,Sunday,1,3,743.94,0.0,743.94,300.0,443.94,59.67,Gen X (40-59),VIP Enterprise Tier
ORD-108486,2025-07-17,2025-07-19,CUST-1270,Customer_1270,52,Female,India,Books & Stationery,Hardcover Productivity Journal,2,17.68,4.5,0.05,21.59,Cash on Delivery,Delivered,2025,7,July,Q3,Thursday,0,2,35.36,1.77,33.59,9.0,24.59,73.21,Gen X (40-59),Budget Tier
ORD-110209,2025-01-09,2025-01-12,CUST-2027,Customer_2027,25,Other,United Kingdom,Books & Stationery,Data Science Handbook (Hardcover),5,57.71,20.0,0.25,23.1,Debit Card,Cancelled,2025,1,January,Q1,Thursday,0,3,288.55,72.14,216.41,100.0,116.41,53.79,Millennial (25-39),Premium Tier
ORD-103852,2024-12-07,2024-12-13,CUST-2851,Customer_2851,25,Male,United Kingdom,Books & Stationery,Artist Sketchbook Pack,4,14.5,3.5,0.1,24.73,Credit Card,Shipped,2024,12,December,Q4,Saturday,1,6,58.0,5.8,52.2,14.0,38.2,73.18,Millennial (25-39),Budget Tier
ORD-100654,2025-07-27,2025-08-03,CUST-1166,Customer_1166,36,Other,France,Beauty & Personal Care,Sonic Electric Toothbrush,8,50.84,16.0,0.05,5.75,Bank Transfer,Cancelled,2025,7,July,Q3,Sunday,1,7,406.72,20.34,386.38,128.0,258.38,66.87,Millennial (25-39),Premium Tier
ORD-109743,2025-01-23,2025-01-30,CUST-1344,Customer_1344,35,Other,France,Electronics,Smartphone Pro,7,408.09000000000003,450.0,0.2,15.6,Bank Transfer,Returned,2025,1,January,Q1,Thursday,0,7,2856.63,571.33,2285.3,3150.0,-864.7,-37.84,Millennial (25-39),VIP Enterprise Tier
ORD-112367,2024-02-24,2024-03-01,CUST-1709,Customer_1709,32,Female,India,Home & Kitchen,Stainless Steel Cookware Set,4,149.44,65.0,0.2,24.98,Cash on Delivery,Cancelled,2024,2,February,Q1,Saturday,1,6,597.76,119.55,478.21,260.0,218.21,45.63,Millennial (25-39),Premium Tier
ORD-101471,2025-10-31,2025-11-01,CUST-1092,Customer_1092,24,Non-Binary,United States,Books & Stationery,Ergonomic Fountain Pen Set,1,32.05,9.0,0.25,15.035,Debit Card,Cancelled,2025,10,October,Q4,Friday,0,1,32.05,8.01,24.04,9.0,15.04,62.56,Gen Z (<25),Budget Tier
ORD-102440,2024-05-19,2024-05-20,CUST-1881,Customer_1881,36,Male,United States,Electronics,Smartphone Pro,2,408.09000000000003,450.0,0.1,14.98,Bank Transfer,Returned,2024,5,May,Q2,Sunday,1,1,816.18,81.62,734.56,900.0,-165.44,-22.52,Millennial (25-39),VIP Enterprise Tier
